Task name,Category,Description,Owner,Phase,Priority,Status,Timeframe,Product,Product 1
Fix TypeScript typecheck blockers,Engineering,"Resolve current `npm run typecheck` failures in `SessionScreen.tsx` around route typing and width styles before any production build is attempted.",Engineering,Phase 1,Critical,Done,1-2d,Bridal Studio,Mobile App
Stabilize dirty auth worktree,Engineering,"Review current modified auth files, package files, and deleted `authErrors.ts` so the release branch has intentional committed changes only.",Engineering,Phase 1,High,Done,2-4h,Bridal Studio,Mobile App
Apply Supabase production migrations,Backend,"Link the Supabase CLI to the production project and run all migrations including inventory image storage policies.",Engineering,Phase 1,Critical,Ongoing,30-60min,Bridal Studio,Backend
Verify Supabase storage bucket policies,Backend,"Confirm `inventory-images` bucket exists, uploads work from authenticated users, public URLs resolve, and inventory rows remain protected by store access rules.",Engineering,Phase 1,Critical,Open,2-4h,Bridal Studio,Backend
Define multi-user store access model,Backend,"Current policies mostly use `studios.owner_id`; decide whether staff or shared store users need access and add membership tables/RLS before launch.",Both,Phase 1,Critical,Done,1-3d,Bridal Studio,Backend
Add account deletion flow,Compliance,"Because the app has accounts, add in-app account deletion or a clear deletion request flow and document backend data deletion behavior.",Engineering,Phase 1,Critical,Done,1-2d,Bridal Studio,Mobile App
Remove or gate OpenAI debug generator from production,Engineering,"Ensure the debug-only OpenAI image generator cannot appear in production builds and no OpenAI key is bundled into client code.",Engineering,Phase 1,Critical,Open,2-4h,Bridal Studio,Mobile App
Move AI generation behind a server if keeping it,Backend,"If AI inventory generation becomes a real feature, move OpenAI calls to a Supabase Edge Function or backend so API keys are never exposed in the app bundle.",Engineering,Phase 2,High,Open,1-3d,Bridal Studio,Backend
Create production env strategy,DevOps,"Set production Supabase URL and anon key through EAS environment variables or secure release env handling; remove local-only URLs from release builds.",Engineering,Phase 1,Critical,Done,2-4h,Bridal Studio,DevOps
Replace placeholder bundle identifiers,DevOps,"Change `com.example.bridalstudiomobile` to real iOS bundle ID and Android package name before App Store Connect and Play Console setup.",Engineering,Phase 1,Critical,Open,30-60min,Bridal Studio,Mobile App
Create EAS project and eas.json,DevOps,"Add `eas.json` with development, preview, and production profiles for Android App Bundle and iOS archive builds.",Engineering,Phase 1,Critical,Open,1-2h,Bridal Studio,DevOps
Upgrade Expo SDK for 2026 store compliance,Engineering,"Review current Expo SDK 51 and upgrade to a current supported SDK if needed so Android targets API 35+ and iOS builds use current store-compatible tooling.",Engineering,Phase 1,Critical,Done,1-3d,Bridal Studio,Mobile App
Confirm Android target API 35+,DevOps,"Google Play requires new apps to target Android 15/API 35 or higher; verify generated Android manifest/build target before submission.",Engineering,Phase 1,Critical,Open,2-4h,Bridal Studio,Android
Configure app versioning and build numbers,DevOps,"Set production `version`, iOS `buildNumber`, Android `versionCode`, and a repeatable release numbering process.",Engineering,Phase 1,High,Open,1-2h,Bridal Studio,DevOps
Add production app icon,Design,"Create and configure a polished app icon in `app.json`; current config has no icon asset.",Design,Phase 2,High,Open,2-4h,Bridal Studio,Brand
Add splash screen assets,Design,"Create launch/splash screen assets and configure them in Expo app config for iOS and Android.",Design,Phase 2,Medium,Open,2-4h,Bridal Studio,Brand
Add adaptive Android icon,Design,"Create Android adaptive icon foreground/background assets for Play Store and device launchers.",Design,Phase 2,Medium,Open,1-2h,Bridal Studio,Android
Add iOS permission usage descriptions,Compliance,"Declare clear permission strings for photo library and file/image access so App Review understands why users select inventory photos.",Engineering,Phase 2,High,Done,1-2h,Bridal Studio,iOS
Audit Android permissions,Compliance,"Check generated Android permissions for image picker, file system, internet, and storage access; remove anything not needed.",Engineering,Phase 2,High,Done,2-4h,Bridal Studio,Android
Write privacy policy,Legal,"Create a public privacy policy covering accounts, Supabase auth, uploaded dress/ring images, local caching, optional AI generation, and support contact.",Business,Phase 2,Critical,Done,0.5-1d,Bridal Studio,Compliance
Write terms of service,Legal,"Create terms covering store inventory content, account responsibilities, acceptable uploads, AI/debug feature exclusions, and service availability.",Business,Phase 2,High,Done,0.5-1d,Bridal Studio,Compliance
Create support URL and contact path,Support,"Root-level static compliance site created in `app_store_compliance_site`; publish it and replace support/operator placeholders before App Store or Play submission.",Business,Phase 2,High,Ongoing,2-4h,Bridal Studio,Support
Prepare Apple privacy nutrition labels,Compliance,"Map collected data to App Store privacy labels: email/account data, user content/images, diagnostics if any, and third-party services such as Supabase/OpenAI if enabled.",Both,Phase 2,Critical,Open,2-4h,Bridal Studio,iOS
Prepare Google Play Data Safety form,Compliance,"Complete Google Play Data Safety answers for account data, uploaded images, app activity, encryption in transit, deletion, and sharing with service providers.",Both,Phase 2,Critical,Open,2-4h,Bridal Studio,Android
Decide age rating,Compliance,"Complete age-rating questionnaire; confirm bridal inventory content and user-uploaded images do not target children or contain restricted content.",Business,Phase 2,Medium,Open,1-2h,Bridal Studio,Stores
Add demo account for review,QA,"Create a stable reviewer login with seeded store, dresses, rings, and images; include credentials in App Review notes and Play Console instructions.",Business,Phase 3,Critical,Open,1-2h,Bridal Studio,QA
Seed production-like demo data,Backend,"Add non-sensitive sample store data so reviewers can test inventory, sessions, image sync, and ring/dress flows without relying on personal data.",Engineering,Phase 3,High,Open,2-4h,Bridal Studio,Backend
Complete store creation and onboarding flow,Product,"Verify first-time users can create/select a store and understand wedding dress vs engagement ring store type without developer intervention.",Both,Phase 3,High,Open,1-2d,Bridal Studio,Mobile App
